"";"judet";"localitate";"nemultumiti_per";"nemultumiti_nr";"tur1_amaritei";"tur1_branza";"tur1_diaconescu";"tur1_funar";"tur1_kelemen";"tur1_macovei";"tur1_melescanu";"tur1_ponta";"tur1_rotaru";"tur1_szilagy";"tur1_tariceanu";"tur1_udrea";"tur1_vadim"
"103";"constanta";"navodari";0,479379810358724;1431,42811373115;8,92733252251844e-17;1;0,0427314595746898;1;0,253977950697998;1;0,53135386478314;0,281464910502809;0,999999999999999;-1,54655566597705e-15;0,903142208645345;0,71084783410977;0,279362924724555
"104";"hunedoara";"brad";0,459895154764646;684,783885444558;1;0,424232337604227;1;-2,77555756156289e-17;-7,14484732513343e-16;0,183216706140427;0,730386090912107;0,109986862954149;0,77396640059978;2,56383626221999e-15;0,451191398005987;1;4,59582754635535e-17
"105";"buzau";"buzau";0,403646772548333;4495,01045909823;1,79925458577434e-17;1;0,260022135014461;0,724817891165243;2,45116206314896e-18;0,628143872539397;1;0;0,0211721144815982;1;0,607616947399807;1;1
"106";"bacau";"moinesti";0,391927145141361;489,51700428156;1;-5,19945046409013e-17;0,0789654680753423;3,95212012514943e-16;-1,83859884689623e-16;0,728924500226844;1;0,0512847464849399;1;6,01498492003338e-16;1;1;0,769647693889378
"107";"olt";"caracal";0,385343433330512;924,053553126569;0,999999999999999;1;0,404399754637621;1;-8,32963516319155e-16;1;1;-4,10766504329276e-18;2,76486533786821e-15;-5,02758105614796e-16;0,681733615562675;0,978620945258946;0,500200634675122
"108";"hunedoara";"lupeni";0,366321141996196;429,694699561538;0,999999999999996;8,65212178899336e-16;0,352171338576586;1;0,738788342077087;1;0,650183546495338;3,46944695195361e-18;0,216370987980563;0,999999999999999;0,0477668122566875;1;0,509400086091971
"109";"caras-severin";"oravita";0,355297617678999;337,17743917737;1;0,789285210890943;0,574668734909065;3,85424858894147e-15;-1,77651462575877e-16;-1,38777878078145e-17;0,937695776322356;0,18056960931746;1;1;0,309536376816786;1;0,15991938123274
"110";"botosani";"botosani";0,336205223038811;2757,89144458736;1;-1,82266378468704e-17;1;0,351336538199902;1;1;0,191515351437868;0;1,73059190015529e-15;5,03046420535021e-17;0,351963087343551;0,77933214890982;1
"111";"gorj";"tirgu jiu";0,335990058054398;2626,09829375317;0,999999999999999;1;0,564665595181861;2,65131966002851e-17;0,64119771235279;1;1;0;0,999999999999998;0,999999999999998;0,364157710624556;1;1
"112";"ialomita";"fetesti";0,304501629308923;669,599082850321;1;0,999999999999999;0,4191430441819;1;0,741296642346961;0,164353514887103;0,441172260960759;0,00874232753183027;-2,76943235772239e-16;1,7336132232048e-15;1;1;1
"113";"arges";"campulung";0,291594322481736;827,836281525648;-2,78562807977539e-15;0,999999999999999;0,461353694370788;-6,97253217700731e-17;1;1;0,0660843099382247;-3,07630894652081e-18;0,999999999999999;1;0,603454607457233;1;1
"114";"calarasi";"oltenita";0,277802924409368;487,82193526285;-4,07701766042412e-16;0,424092146369082;2,17754279732616e-17;3,64500120441746e-15;1,00000000000001;1;1;0;-3,45604015075731e-16;-3,20481000810155e-15;0,24730370923242;1;0,945233252854112
"115";"arges";"mioveni";0,272672059196276;851,009496751577;0,752338894990702;1;0,427157851987998;-3,28570247072045e-16;1,58682948815362e-17;1;0,999999999999999;-8,75583662367254e-21;-3,32906185705353e-16;0,999999999999999;0,787670902145258;1;0,807310588207364
"116";"dolj";"bailesti";0,272334969456108;476,586196548189;4,4738782480516e-15;1;0,210852542549044;1;0,999999999999999;1,77479158022512e-16;0,581128547596196;0,203065023059754;3,12688251550462e-17;0,999999999999999;0,53524046512847;1;0,57487946845971
"117";"giurgiu";"giurgiu";0,25256032749204;1114,80128554986;1;1;0,373557858576053;7,88588445618463e-17;0,21022400519922;1;0,0896296530781099;-7,92175132627579e-18;-2,76089599010451e-15;1,08640502230555e-15;0,504167046642819;0,594997979029486;0,788639112798003
"118";"buzau";"ramnicu sarat";0,177859558872705;435,400200120381;-9,16982185547705e-16;0,284302687111903;0;1;-2,28730326607634e-15;0,45705708546678;1;-5,89072554734079e-18;-2,11380507565351e-16;1,04364424510207e-16;1;0,901995574909938;1
"119";"hunedoara";"petrila";0,152163197474543;217,441209191122;1,40394628128996e-15;1;0,0423561493113405;4,64432103347286e-16;1;1;1;0,0357487318797206;-7,32402615512885e-16;1;0,391876385913385;1;0,906703903638753
"120";"ilfov";"popesti leordeni";0,139936544450973;670,016174831257;1,00000000000004;2,37578808228811e-15;4,24649788922288e-17;2,38417224043445e-15;1,5167318825771e-15;1;0,999999999999995;0,445745301913578;-1,3137362608882e-14;1,59832593774643e-15;1;0,724778692910721;8,07103633381984e-17
